BLDG_ID,X,Y,OEM_LABEL,BLDG_ADD,BOROCODE,CITY,CROSS1,CROSS2,ZIP_CODE,ACCESSIBLE,ACC_FEAT
K006,996385.5325,175747.0291,PS 6,43 Snyder Avenue,3,Brooklyn,Flatbush Avenue,Bedford Avenue,11226,Y,The main entrance is located at 43 Snyder Avenue (between Bedford Avenue and Flatbush Avenue). The accessible entrance is located on Bedford Avenue (between Snyder Avenue and Erasmus Street).
K007,1019426.951,190386.9218,PS 7,858 Jamaica Avenue,3,Brooklyn,Hemlock Street,Crescent Street,11208,Y,The main/accessible entrance is located at 858 Jamaica Avenue (between Crescent Street and Hemlock Street).
K012,1006376.387,184453.0744,PS 12,430 Howard Avenue,3,Brooklyn,St Marks Avenue,Prospect Place,11233,Y,The main/accessible entrance is located at 430 Howard Avenue (close to the intersection with Prospect Place).
K023,998820.6287,192293.2083,PS 23,545 Willoughby Avenue,3,Brooklyn,Marcy Avenue,Tompkins Avenue,11206,Y,The main/accessible entrance to this location for sheltering purposes is at 545 Willoughby Avenue (between Marcy Avenue and Tompkins Avenue).
K024,982990.4523,177111.0736,PS 24,427 38 Street,3,Brooklyn,4 Avenue,5 Avenue,11232,Y,The main/accessible entrance to this location for sheltering purposes is at 427 38th Street (between 4th Avenue and 5th Avenue).
K055,1008310.527,185023.5559,IS 55,2021 Bergen Street,3,Brooklyn,Thomas S Boyland Street,Rockaway Avenue,11233,Y,The main entrance is located at 2021 Bergen Street (between Thomas S. Boyland and Rockaway Avenue). The accessible entrance is located on Bergen Street. 
K088,987507.357,179835.7788,IS 88,544 7 Avenue,3,Brooklyn,18 Street,19 Street,11215,Y,The main entrance is located on 18th Street (between 7th Avenue and 6th Avenue). The accessible entrance is adjacent to the main entrance and is accessed from 18th Street (close to the intersection with 7th Avenue).
K226,990579.359,163428.1574,PS 226,6006 23 Avenue,3,Brooklyn,60 Street,61 Street,11204,Y,The main entrance is located at 6006 23rd Avenue (between 60th Street and 61st Street). The accessible entrance is located on 23rd Avenue (close to the intersection with 60th Street).
K258,999443.9686,187736.18,IS 258,141 Macon Street,3,Brooklyn,Marcy Avenue,Macon Street,11216,Y,The main/accessible entrance to this location for sheltering purposes at 141 Macon Street (between Marcy Avenue and Tompkins Avenue).
K259,980147.7139,167423.0448,IS 259,7305 Ft Hamilton Parkway,3,Brooklyn,Fort Hamilton Parkway,10 Avenue,11228,Y,The main/accessible entrance to this location for sheltering purposes is on 73rd Street (between Fort Hamilton Parkway and 10th Avenue).
K289,1000241.693,184790.1387,PS 289,900 St Marks Avenue,3,Brooklyn,St Marks Avenue,Park Place,11213,Y,The main/accessible entrance to this location for sheltering purposes is on Kingston Avenue (between St. Mark’s Avenue and Park Place).
K313,987481.2488,192349.9277,Adams Street Educational Campus,283 Adams Street,3,Brooklyn,Johnson Street,Willoughby Street,11201,Y,The main/accessible entrance to this location for sheltering purposes is at 283 Adams Street  (close to the intersection with Johnson Street).
K324,1003004.909,189918.0904,IS 324,800 Gates Avenue,3,Brooklyn,Stuyvesant Avenue,Malcom X Boulevard,11221,Y,"The main entrance is located at 800 Gates Avenue (between Stuyvesant Avenue and Malcom X Boulevard). The accessible entrance is on the eastern side of the building at the school playground, and is accessed from Gates Avenue."
K331,977440.7935,170060.757,PS - IS 30,7002 4 Avenue,3,Brooklyn,Ovington Avenue,72 Street,11209,Y,The main/accessible entrance is located at 7002 4th Avenue (between 72nd Street and Ovington Avenue).
K383,1006630.729,193475.3716,IS 383,1300 Greene Avenue,3,Brooklyn,Myrtle Avenue,Wilson Avenue,11237,Y,The main entrance is located on Greene Avenue (between Wilson Avenue and Myrtle Avenue). The accessible entrance to this location for sheltering purposes is on Greene Avenue (close to the intersection with Wilson Avenue).
K430,990783.5932,190282.4961,Brooklyn Technical High School,29 Fort Greene Place,3,Brooklyn,Fort Greene Place,DeKalb Avenue,11217,Y,The main entrance is located at 29 Fort Greene Place (between Fort Green Place and DeKalb Avenue). The accessible entrance is on South Elliott Place.
K590,997775.8689,182277.0302,Medgar Evers College Prep,1186 Carroll Street,3,Brooklyn,Rogers Avenue,Nostrand Avenue,11225,Y,The main/accessible entrance to this location for sheltering purposes is at 1186 Carroll Street (close to the intersection with Nostrand Avenue).
M048,1002619.45,250117.9047,PS 48,4360-78 Broadway,1,New York,W 186 Street,W 187 Street,10033,Y,The main/accessible entrance is located at 4360 Broadway (between W 186th Street and W 187th Street).
M088,996958.5195,231688.6134,IS 88,215 W 114 Street,1,New York,Frederick Douglass Boulevard,Adam Clayton Powell Jr Boulevard,10026,Y,The main/accessible entrance is located at 215 West 114th Street (between Frederick Douglass Boulevard and Adam Clayton Powell Jr. Boulevard). A ramp is available at this entrance.
M090,1002039.846,245084.6444,IS 90,21 Jumel Place,1,New York,Edgecombe Avenue,W 167 Street,10023,Y,The main entrance is located at 21 Jumel Place (corner of 167th Street and Edgecombe Avenue). The accessible entrance to this school for sheltering purposes is the rear entrance on Edgecombe Avenue.
M092,999248.7987,236103.1597,PS 92,222 W 134 Street,1,New York,Frederick Douglass Boulevard,7 Avenue,10030,Y,The main entrance is located on W 134th Street (between Frederick Douglass Boulevard and Adam Clayton Powell Jr. Boulevard). The accessible entrance faces W 133rd Street but can be accessed from route leading from W 134th Street (between Frederick Douglass Blvd and Adam Clayton Powell Jr. Blvd).
M093,999568.6298,241672.416,PS - IS 210,501-503 W 152 Street,1,New York,Broadway,Amsterdam Avenue,10031,Y,The main/accessible entrance to this location for sheltering purposes is at 501-503 W 152nd St (between Broadway and Amsterdam Avenue). A platform lift that accommodates one wheelchair user at a time is available at this entrance.
M131,986023.6077,200221.5314,IS 131,100 Hester Street,1,New York,Forsyth Street,Eldridge Street,10002,Y,The main/accessible entrance to this location for sheltering purposes is at 100 Hester Street (between Forsyth Street and Eldridge Street).
M470,991448.0981,225612.058,Louis D Brandeis HS,145 W 84 Street,1,New York,Amsterdam Avenue,Columbus Avenue,10024,Y,The main entrance is located on W 84th Street (between Amsterdam Avenue and Columbus Avenue). The accessible entrance to this location for sheltering purposes is on W 85th Street (between Columbus Avenue and Amsterdam Avenue).
M488,993570.4466,215911.8336,Midtown East Campus (PS 59),233 E 56 Street,1,New York,3 Avenue,2 Avenue,10022,Y,The main/accessible entrance to this location for sheltering purposes is at 231-249 E 56th Street (between 2nd Avenue and 3rd Avenue).
M490,988229.9418,221594.087,Martin Luther King Jr. HS,122 Amsterdam Avenue,1,New York,West End Avenue,Amsterdam Avenue,10023,Y,The main entrance is located on Amsterdam Avenue (between W 65th Street and W 66th Street). The accessible entrance to this location for sheltering purposes is on W 65th Street (between West End Avenue and Amsterdam Avenue).
M620,989516.4445,211236.444,Norman Thomas High School,111 E 33rd Street,1,Manhattan,E 33 Street,Park Avenue,10016,Y,The main/accessible entrance to this location for sheltering purposes is at 111 E 33rd Street (between Park Avenue and Lexington Avenue).
Q012,1013880.719,209682.0449,PS 12,42-00 72nd Street,4,Queens,Woodside Avenue,71st Street,11377,Y,The main entrance is located at 42-00 72nd Street (between Woodside Avenue and 43rd Avenue). The accessible entrance to this location is at the intersection of 71st Street and Woodside Avenue.
Q074,1048860.151,210814.7238,IS 74,61-15 Oceania Street,4,Bayside,Horace Harding Expressway,210 Street,11362,Y,The main/accessible entrance to this location for sheltering purposes is at 61-15 Oceania Street (close to the intersection with Horace Harding Expressway).
Q100,1033804.052,186982.0152,PS 100,111-11 118 Street,4,South Ozone Park,Linden Blvd,111 Avenue,11420,Y,The main entrance is located on 118th Street (between 111th Avenue and Linden Boulevard). The accessible entrance is located in the parking lot facing Linden Boulevard and is accessed from 118th Street.
Q107,1039813.974,214686.1855,PS 107 Thomas A. Dooley,167-02 45 Avenue,4,Queens,45 Avenue,168 Street,11358,Y,The main entrance is located at 167-02 45th Avenue (between 167th Street and 168th Street). The accessible entrance is located on 168th Street (between 45th Avenue and 46th Avenue).
Q149,1019001.352,214455.5603,PS 149,93-11 34 Avenue,4,Jackson Heights,93 Street,94 Street,11372,Y,The main entrance is located at 93-00 34th Avenue (corner of 93rd Street and 34th Avenue). The accessible entrance is located on 93rd Street (halfway between 34th Avenue and Northern Boulevard).
Q185,1034485.996,221630.0381,JHS 185,147-26 25 Drive,4,Flushing,147 Street,149 Street,11354,Y,The main/accessible entrance to this location for sheltering purposes is at 147- 26 25th Drive (between 149th and 147th Street).
Q190,1025341.338,202807.9245,JHS 190,68-17 Austin Street,4,Forest Hills,68 Avenue,Yellowstone Boulevard,11375,Y,The main/accessible entrance to this location for sheltering purposes is at 68-17 Austin Street (between 68th Avenue and Yellowstone Boulevard).
Q239,1010826.374,194022.0126,PS 239,17-15 Weirfield Street,4,Ridgewood,Cypress Avenue,Seneca Avenue,11385,Y,The main/accessible entrance is located at 17-15 Weirfield Street (between Cypress and Seneca Avenues).
Q260,1021427.13,212300.8809,PS 307,40-20 100 Street,4,Corona,Spruce Street,41 Avenue,11368,Y,The main/accessible entrance to this location for sheltering purposes is at 40-20 100th Street (at the intersection of 100th Street and Spruce Street).
Q268,1043802.516,197171.0978,PS - IS 268,92-07 175 Street,4,Jamaica,Jamaica Avenue,93 Avenue,11433,Y,The main/accessible entrance is located at 92-07 175th Street and Jamaica Avenue (close to the intersection with Jamaica Avenue).
Q485,1009302.282,198422.8263,Grover Cleveland HS,21-27 Himrod Street,4,Ridgewood,Grandview Avenue,Tonsor Street,11385,Y,The main entrance is located at 21-27 Himrod Street (between Grandview Avenue and Tonsor Street).  The accessible entrance to this location is on Grandview Avenue (close to the intersection with Himrod Street).
Q505,1038959.207,197885.0849,Hillcrest HS,160-05 Highland Avenue,4,Jamaica,Parsons Boulevard,162 Street,11432,Y,The main entrance is located at 160-05 Highland Avenue (between Parsons Boulevard and 162nd Street). The accessible entrance to this location for sheltering purposes is on Highland Avenue (close to the intersection with 162nd Street).
Q515,1033758.244,207098.4979,Townsend Harris HS,149-11 Melbourne Avenue,4,Flushing,149 Street,Melbourne Avenue,11367,Y,The main/accessible entrance to this location for sheltering purposes is on 149th Street (close to the intersection with Melbourne Avenue).
Q566,1059380.128,210618.7714,"HS of Teaching, Lib Arts and Sci",74-20 Commonwealth Blvd,4,Bellerose,Grand Central Parkway,76 Avenue,11426,Y,The main/accessible entrance to this location for sheltering purposes is at 74-20 Commonwealth Boulevard (at the intersection of Cross Island Parkway South and Grand Central Parkway East).
Q570,1004982.973,214762.9321,Frank Sinatra HS,35-12 35th Avenue,4,Long Island City,35 Street,36 Street,11101,Y,The main/accessible entrance to this location for sheltering purposes is at 35-12 35th Avenue (between 35th Street and 36th Street).
Q610,1003798.356,210159.7756,Aviation HS,45-30 36 Street,4,Long Island City,Queens Boulevard,47 Avenue,11101,Y,The main entrance is located at 45-30 36th Street (between Queens Boulevard and 47th Avenue). The accessible entrance is located on 35th Street (between 47th Avenue and Queens Boulevard).
R043,940089.6798,151132.1919,Jerome Parker Campus,100 Essex Drive,5,Staten Island,Daniella Court,Westport Street,10314,Y,The main/accessible entrance is located at 100 Essex Drive (between Daniella Court and Westport Street).
R051,944027.9315,166291.5946,IS 51,20 Houston Street,5,Staten Island,Willowbrook Road,Houston Lane,10302,Y,The main entrance is located at 20 Houston Street (close to the intersection with Willowbrook Road). The accessible entrance to this location for sheltering purposes is on Willowbrook Road (close to the intersection with Houston Street).
R056,924782.428,136810.6621,PS 56,250 Kramer Avenue,5,Staten Island,Winant Avenue,Kramer Avenue,10309,Y,The main/accessible entrance to this location for sheltering purposes is at 250 Kramer Avenue (close to the intersection with Winant Avenue).
R450,961534.6524,174416.5269,Curtis HS,105 Hamilton Avenue,5,Staten Island,St. Marks Place,Daniel Low Terrace,10301,Y,The main/accessible entrance to this location for sheltering purposes is at St. Marks Place (close to the intersection with Nicholas Street).
R880,955277.6252,161167.3145,Petrides Complex,715 Ocean Terrace,5,Staten Island,Milford Drive,Safety City Boulevard,10301,Y,The main entrance is located on Ocean Terrace (between Milford Drive and Safety City Boulevard). The accessible entrance can be accessed from Safety City Boulevard.
X046,1014531.311,255185.6705,PS 46,2760 Briggs Avenue,2,Bronx,Briggs Avenue,E 196 Street,10458,Y,The main/accessible entrance to this location for sheltering purposes is on Briggs Avenue (between E 196th Street and E 197th Street).
X074,1015996.575,236540.9722,IS 201,730 Bryant Avenue,2,Bronx,Bryant Avenue,Longfellow Avenue,10474,Y,The main/accessible entrance to this location for sheltering purposes is on Spofford Avenue (between Bryant Avenue and Longfellow Avenue).
X102,1021265.645,244686.6022,PS 102,1827 Archer Street,2,Bronx,Archer Street,Guerlain Street,10460,Y,The main/accessible entrance to this location for sheltering purposes is on Taylor Avenue (between Archer Street and Guerlain Street).
X132,1009988.683,242372.2079,PS 132,1245 Washington Avenue,2,Bronx,E 168 Street,E 169 Street,10456,Y,The main entrance is located at 1245 Washington Avenue (between E 168th Street and E 169th Street) The accessible entrance is on E 168th Street (between Washington Avenue and Park Avenue).
X137,1012680.332,250587.4506,IS 391,2225 Webster Avenue,2,Bronx,E 181 Street,E 182 Street,10457,Y,The main/accessible entrance to this location for sheltering purposes is on Folin Street (between E 181st Street and E 182nd Street).
X141,1007980.264,262833.2477,MS - HS 141,660 W 237 Street,2,Bronx,W 236 Street,Independence Avenue,10463,Y,The main/accessible entrance to this location for sheltering purposes is on Independence Avenue (between W 236th Street and W 237th Street).
X158,1011682.751,240713.1318,IS 158,800 Home Street,2,Bronx,Tinton Avenue,Union Avenue,10456,Y,The main/accessible entrance to this location for sheltering purposes is at 800 Home Street (between Union Avenue and Tinton Avenue).
X193,1014555.098,246700.8088,PS 211,1919 Prospect Avenue,2,Bronx,E 176 Street,East Tremont Avenue,10457,Y,The main entrance is located on E 176th Street. The accessible entrance to this location for sheltering purposes is on Clinton Street (between E Tremont Avenue and E 176th Street).
X235,1006480.204,243680.011,PS - IS 218,1220 Gerard Avenue,2,Bronx,E 167 Street,E 168 Street,10452,Y,The main/accessible entrance to this location for sheltering purposes is at 1220 Gerard Avenue (close to the intersection with East 167th Street).
X338,1007699.154,248983.1674,Morris Heights Educational Complex,1780 Dr. Martin Luther King Jr. Blvd,2,Bronx,Macombs Road,W Tremont Avenue,10453,Y,The main/accessible entrance to this location for sheltering purposes is at 1780 Dr. Martin Luther King Jr. Boulevard (University Avenue) close to the intersection with W Tremont Avenue.
X362,1024986.68,262914.7259,IS - HS 362,921 E 228 Street,2,Bronx,Bronxwood Avenue,Paulding Avenue,10466,Y,The main/accessible entrance to this location for sheltering purposes is at 921 East 228th Street (between Bronxwood Avenue and Paulding Avenue).
X460,1006660.984,240759.7754,"HS of Law, Gov't and Justice",244 E 163 Street,2,Bronx,Sherman Avenue,Grant Avenue,10451,Y,The main/accessible entrance to this location for sheltering purposes is at 244 East 163rd Street (between Grant Avenue and Sherman Avenue).
