name_1,name_2,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
Phoenix House,Short Term Residential Program,480 East 185th Street,,Bronx,10458,718-584-7170-6461,http://www.phoenixhouse.org,40.856377,-73.892102,1,,1,1,,1,1,1,,1,1,,1,1,,1,1,,1
Beth Israel Medical Center,Ny Center Addiction Treatment Op 1,25 12th Street,,BROOKLYN,11215,718-965-7900,http://www.wehealny.org/services/psychiatry/index.asp,40.6718349352999,-73.9970691926999,1,1,,1,,,,,,,,,1,,,,,,
New York Center Addiction Treatment,Bleuler Cd Recovery Services Op,37-20 74Th Street,,QUEENS,11372,212-966-9537,http://nycats.net/,40.7482778643,-73.8917207877999,1,,1,1,,1,,,,,,,1,,,,,,
"Bleuler Psychotherapy Center, Inc.",Bleuler Cd Recovery Services Op,104-70 Queens Boulevard,,QUEENS,11375,718-275-6010,http://www.bleulerpsychotherapycenter.org/,40.7233695884999,-73.8482954387,,1,1,1,,1,,,,,,1,1,1,1,,,,
"Safe Space NYC, Inc.",Family Life Clinic,133-25 Guy R. Brewer Boulevard,,QUEENS,11434,718-206-3440,http://www.safespacenyc.org,40.6737687218999,-73.7759505245,,,1,1,,1,,,,,,1,1,1,,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,67-09 108th Street,,QUEENS,11375,718-224-0566,http://www.sfy.org/,40.7287014941,-73.8474137699,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,208-11 26th Avenue,,QUEENS,11360,718-224-0566,http://www.sfy.org/,40.7763803152,-73.7837977327999,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,92-33 170th Street,,QUEENS,11433,718-657-6540,http://www.sfy.org/,40.7061930002,-73.7891362043999,1,1,,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",Service Program for Older People PROS,188 W. 88th Street,,NEW YORK,10024,212-787-7120,http://www.spop.org/,40.7887172956,-73.9734391993,1,1,1,1,,,,,,,,,,,1,,,,
Shiloh Consulting LLC,,214 West 29th Street,Suite 703,New York,10001,212-564-7631,,40.748077,-73.994027,,1,1,1,,1,,,,,,,1,1,1,,,,
Kadimah Pros,,6023 Fort Hamilton Parkway,,Brooklyn,11219,7186863400,,40.632725,-74.006063,,,1,1,,,1,1,,1,,,1,1,1,,1,,
Interborough Developmental and,Consultation Ctr Inc/Flatbush Clinic,1623 Kings Highway,,Brooklyn,11229,718-375-1200,http://www.interborough.org,40.609708,-73.956813,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
Federation Employment Guidance Service,Hon Caroline K Simon CCs/Rego Park Cl,97-77 Queens Boulevard,,Rego Park,11374,718-896-9090,http://www.fegs.org,40.729156,-73.858442,,,1,1,,1,,,,,,1,1,1,1,,,,
NYC/HHC Jacobi Medical Center,Outpatient Psychiatric Services,1400 Pelham Parkway South,,Bronx,10461,718-918-5039,http://www.nyc.gov/html/hhc/jacobi/html/services/behavioral.shtml,40.854072,-73.8469,,1,1,1,,,1,1,,1,,,1,1,1,,1,,
NYC/HHC Metropolitan Hospital Center,Metropolitan Hosp Adult Mental HC,1900 2nd Avenue,,New York,10029,212-423-6645,http://www.nychhc.org,40.78541,-73.945836,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
NYC/HHC Kings County Hospital Center,Kings County Hospital Ctr Proj Access,451 Clarkson Avenue,Building R,Brooklyn,11203,718-245-4871,,40.656571,-73.946224,,,1,1,,1,,1,,,,,1,1,1,1,1,,
Institute for Family Health,,16 East 16th Street,,New York,10003,212-633-0800,http://www.institute2000.org,40.736891,-73.991688,,,1,1,,1,,1,,1,,1,1,1,1,1,1,,
Creedmoor Psychiatric Center,,79-25 Winchester Boulevard,Building B,Queens Village,11427,718-264-3600,http://www.omh.ny.gov/omhweb/facilities/crpc/facility.htm,40.730956,-73.736325,,1,1,1,,1,,,,,,,1,1,1,1,,1,1
