ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,HATE_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,ARAB_MIDDLE_EASTERN,ASIAN_PACIFIC_ISLANDER,BLACK_AFRICAN_AMERICAN_AFRICAN,CARIBBEAN_INDO-CARIBBEAN,HISPANIC_LATINO_A_X,SOUTH_ASIAN,JEWISH,HINDU,MUSLIM,SIKH,INDIGENOUS_FIRST_PEOPLE_AMERICAN_INDIAN_NATIVE_AMERICAN,LGBTQ+,TRANSGENDER_AND_GENDER_NONCONFORMING_FOCUS,PEOPLE_WITH_DISABILITIES,BOROUGH,X,Y,WEBSITE
"The Arab-American Family Support Center ",Brooklyn  Family Justice Center,"350 Jay Street, 15th Floor    ","Brooklyn, NY 11201            ",718-250-5113,,1,1,1,1,1,,,,,,1,1,,1,,1," ",1,,,,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,1,,,1,,,1,,,1,,,Brooklyn,987687,192183,http://www.aafscny.org/
The Arab-American Family Support Center,Staten Island  Family Justice Center,126 Stuyvesant Place,"Staten Island, NY10301",718-697-4330,,1,1,1,1,1,,,,,,1,1,,1,,1," ",1,,,,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,1,,,1,,,1,,,1,,,Staten Island,962818,173610,http://www.aafscny.org/
The Arab-American Family Support Center,Bronx  Family Justice Center,"198 E 161 Street, 2nd Floor","Bronx, NY 10451",718-508-1220,,1,1,1,1,1,,,,,,1,1,,1,,1," ",1,,,,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,1,,,1,,,1,,,1,,,Bronx,1006186,240244,http://www.aafscny.org/
"The Arab-American Family Support Center ","Queens Family Justice Center  ","126-02 82nd Avenue  ","Kew Garden, NY 11415        ",718-575-4545,,1,1,1,1,1,,,,,,1,1,,1,,1," ",1,,,,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,1,,,1,,,1,,,1,,,Queens,1032459,199212,http://www.aafscny.org/
The Arab-American Family Support Center,Manhattan Family Justice Center,"80 Centre Street, 5th Floor","New York, NY 10013",212-602-2800,,1,1,1,1,1,,,,,,1,1,,1,,1," ",1,,,,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,1,,,1,,,1,,,1,,,Manhattan,983763,199873,http://www.aafscny.org/
"The Arab-American Family Support Center ","Downtown Brooklyn ","150 Court Street, 3rd Floor","Brooklyn, NY 11201 ",718-643-8000,,1,1,1,1,1,,,,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,,,1,1,,1,1,1,,1,,,Brooklyn,986183,190265,http://www.aafscny.org/
"The Arab-American Family Support Center ","Long Island City, Queens ","37-10 30th Street, 2nd Floor        ","Queens NY 11101                  ",718-937-8000,,1,1,,1,,,,,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,,,,1,,,1,,,1,,,Queens,1002998,214406,http://www.aafscny.org/
"The Arab-American Family Support Center ",Brooklyn,362 Schermerhorn Street,"Brooklyn, NY 11217",718 - 237- 2502,,1,1,,1,,,,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,,,,1,,,1,,,1,,,Brooklyn,989848,189249,http://www.aafscny.org/
"The Arab-American Family Support Center ",Bronx,"966 Morris Park Avenue, 2nd Floor ","Bronx, NY 10462",718 - 643 - 8000,,1,1,,1,,,,,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,,,,1,,1,1,,,,1,,,1,,,1,,,Bronx,1023793,248047,http://www.aafscny.org/
Association to Benefit Children,All Children's House: East Harlem,1841 Park Avenue,"New York, NY 10035",646-459-6164,,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,Serves families with children 0 - 5 years of age who are at risk of losing their children to foster care and who have experienced trauma,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Manhattan,1001413,232811,http://www.a-b-c.org/
