X,Y,LINE,NAME,DISTRICT,SECTOR,STATION_ID,NOTE
1008614,221655,"N,W","Ditmars Boulevard / Astoria","20","",1,"N-all times, W part time"
997607,222676,"Q","86 Street","04","",476,"Q-all times"
1006001,218645,"N,W","30 Avenue","20","",3,"N-all times, W part time"
1004799,216696,"N,W","Broadway","20","",4,"N-all times, W part time"
1003681,214877,"N,W","36 Avenue","20","",5,"N-all times, W part time"
987916,214202,"N,Q,R,W","42 Street / Times Square","01","",11,"N,Q-all times, R-all times exc nights, W part time"
987382,210866,"N,R","28 Street","04","",13,"N-all times, R-all times exc nights, part time"
986872,207375,"N,Q,R,W","14 Street / Union Square","04","",15,"N,Q-all times, R-all times exc nights"
984887,203169,"N,R","Prince Street","04","",17,"N-all times, Q-nights, R-all times exc nights"
983958,201160,"N,Q","Canal Street","02","",19,"N-all times, Q-weekdays and evenings"
981164,198136,"R,W","Cortlandt Street","02","",21,"N-nights, R-all other times"
980644,195450,"R,W","Whitehall Street / South Ferry","02","",23,"N-nights, R-all other times"
988117,191484,"R","Jay Street / Metrotech","30","A",25,"N-nights, R-all other times"
990127,188355,"D,N,R","Pacific Street / Atlantic Avenue / Barclays Center","32","",27,"D,N-all times, R-all times exc nights"
987495,183684,"R","4 Avenue / 9 Street","32","",29,"D,N-nights, R-all other times"
984780,179877,"R","25 Street","32","",31,"D,N-nights, R-all other times"
981473,175702,"N,R","45 Street","34","",33,"N-nights, R-all times, skips nights northbound"
979288,172942,"N,R","59 Street","34","",35,"N,R-all times"
977169,168709,"R","77 Street","34","",37,"R-all times"
975678,163930,"R","95 Street / Bay Ridge","34","",39,"R-all times"
991780,185964,"B,Q","7 Avenue","32","",41,"B-weekdays and evenings, Q-all times"
994945,177940,"Q","Parkside Avenue","32","",43,"Q-all times"
994141,173870,"Q","Beverley Road","32","",45,"Q-all times"
994604,170678,"B,Q","Newkirk Avenue","34","",47,"B-weekdays and evenings, Q-all times"
995161,166991,"Q","Avenue J","34","",49,"Q-all times"
996020,161023,"B,Q","Kings Highway","34","",51,"B-weekdays and evenings, Q-all times"
996725,156171,"Q","Neck Road","34","",53,"Q-all times"
994986,149754,"B,Q","Brighton Beach","34","",55,"B-weekdays and evenings, Q-all times"
990929,149142,"Q,F","West 8 Street / NY Aquarium","34","",57,"F,Q-all times"
985790,174808,"D","9 Avenue","34","",59,"D-all times"
