STATE,LAT,LNG,NAME,TF,TC,AREA,QUAD
AZ,32.971,-109.35,GILLARD HOT SPRINGS,180,82,SILVER CITY,GUTHRIE 15
AZ,32.741,-114.068,RADIUM HOT SPRINGS,140,60,EL CENTRO,WELLTON MESA 7.5
AZ,33.08,-109.303,HOT SPRING,138,59,CLIFTON,CLIFTON 15
AZ,33.4,-109.152,HANNAH HOT SPRING,133,56,CLIFTON,DUTCH BLUE CREEK 7.5
AZ,32.336,-110.24,HOOKERS HOT SPRINGS,127,53,TUCSON,WINCHESTER MTS. 15
AZ,33.669,-111.165,ROOSEVELT DAM SPRINGS,118,48,MESA,THEODORE ROOSEVELT DAM 7.5
AZ,32.998,-109.901,INDIAN HOT SPRINGS,118,48,SILVER CITY,THATCHER 15
AZ,33.988,-112.362,CASTLE HOT SPRINGS,115,46,PHOENIX,GOVERNORS PEAK 7.5
AZ,34.357,-111.71,VERDE HOT SPRINGS,104,40,HOLBROOK,VERDE HOT SPRINGS 7.5
AZ,33.055,-109.295,CLIFTON HOT SPRINGS,102,39,CLIFTON,(CLIFTON 15)
AZ,32.984,-113.324,AGUA CALIENTE SPRINGS,102,39,AJO,AGUA CALIENTE 7.5
AZ,34.076,-111.708,SPRING (HOT),99,37,HOLBROOK,CHALK MOUNTAIN 7.5
AZ,33.17,-110.528,COOLIDGE DAM WARM SPRING,99,37,MESA,COOLIDGE DAM 7.5
AZ,33.198,-110.668,,99,37,MESA,(MESCAL WARM SPRING 7.5)
AZ,34.563,-113.497,KAISER HOT SPRING,99,37,PRESCOTT,
AZ,35.984,-114.742,HOT SPRING,H,H,KINGMAN,RINGBOLT RAPIDS 7.5
AZ,34.695,-113.572,COFER HOT SPRING,97,36,PRESCOTT,WIKIEUP 7.5
AZ,33.046,-109.44,EAGLE CREEK HOT SPRINGS,97,36,CLIFTON,CLIFTON 15
AZ,33.075,-109.298,SEEP,95,35,CLIFTON,(CLIFTON 15)
AZ,34.896,-114.308,OATMAN WARM SPRINGS,91,33,NEEDLES,WARM SPRINGS 7.5
AZ,32.345,-110.247,WARM SPRINGS,91,33,TUCSON,(WINCHESTER MTS. 15)
AZ,33.209,-110.818,PIONEER SPRING,91,33,MESA,(EL CAPITAN MTN. 7.5)
